review_text,rating
I have uploaded the pictures of the received product. please see and decide if you are busy through daraz or not. The product itself is average quality. but the shipping service keeps getting late so I have to call them several times to get the item delivered. customer service from the seller is like okay sir yes sir thank you sir. I mean is it professional ? when the buyer asks about their item its the answer you got ? And the item received with damages on it. I don't know how it was damaged. but when I unwrap the packaging the cut was there in one leg of the ladder. shipping service is late.and they are in a hurry. don't know but can't recommend certis Lanka now sitrek or something to anyone. if you're not a bargain hunter like me please do purchase. directly from dealer.overall shopping experience is not good. Really sorry about that.,4
"greate value for the price the built quality is reasonable, NOT super sturdy the shipping from daraz is very slow, took longer time to receive, need to improve shipping time for larger goods from daraz",4
"Grate Quality ladder, Very stady and light weight",5
"මුළු ඉණිමඟ ම ඉතා හොඳට පැක් කරලා තිබුණා. ඒ වගේම සහනදායි මිලක් , ⁣ඉතා පරිස්සමට ඩිලිවරිය එවලා තිබුණා. හැබැයි ඩිලිවරිය එන්න දවස් 10 විතර ගියා. ස්තූතිය swisstek ආයතනයටත් ඒ වගේම drazz ආයතනයටත්. 👍👍👍👍👍👍👍",5
ඇණවුම ඉතා සුරක්ෂිතව මා වෙත ලැබුනි. ස්විස්ටෙක් ආයතනයට සහ ඩරස් ආයතනයට ස්තුතියි..,5
This time the local delivery time was too long. Even though the ladder reached Jaffna on Friday the 8th the transportation within took another 8 days. The communication of the delivery agent was very poor. I wasted two whole days waiting for delivery. The quality of the ladder is good. Seller response was satisfied ,5
Received in good condition. Received fast. Thanks a lot ,5
excellent. very well packed. Delivered before due date ,5
good service. strong & quality ladder.thanks,5
"after one or two years, came here to review this product, and it is still good ",4
*Hi quality *low price👌✌,5
Good product ,5
Perfect ,5
Good ,5
I purchased 10' feet Swissttek Ladder les than one month it has brokened & out of shape I made complain to their direct customer service no they won't accept my complain & they told me to come through the Daraz Please kindly attend to this matter & reply to me immediately. KP.Rohan Pathirana ,1
⁣super,5
"Daraz you have to shame your pick up service....very poor cordinating with collecting teams...even my seller agreed to refund my payment since 17th may still you failed to arrange pick to collect my return almost 02 weeks.nothing happen even i hv updated my returnis 10feet ladder...you send to bike riders to collect it...what a joke daraz y you all r wasting our time asking my location every day to collect it... if i purchased from you, you take every effort to deliver the goods within 2 or 3 days .....see my history with daraz now what happened if you dont hv any interest o gain you dont actively intervene for that ....i l take up this never give up",5
"Good ledder, only i use in 1st floor, not suitable for ground floor, height is too much, 5ft,6ft,7ft ok for ground floor ",5
Good quality,5
Great product!,5
A 10' swisstec step ladder was delivered well ahead of time. Great service . Will comment on the product after using it. Tilak Piyaratne .,5
Thank you for your best service. ,5
"Even though it was well packed, there were few scratches. Product is good though. fast delivery. ",4
Very good ,5
"Received as expected. No issue on delivery, fully bubble wrapped package.",5
quality product..exactly as given in the picture.. very satisfied ,5
ordered on 17th May 2022. still not received.,5
Good product. fast delivery. thank you,5
"Good product , But delivery very slow ",5
ladder not strong poor design leg angle to larger ,1
product is okay with the price.,4
good product Recommended ,5
Product quality is good.,5
good quality product ,5
Thanks.Good Quality.,5
Good Build Quality.,5
best product...,5
⁣⁣මිලට වටිනවා..,5
good product. ,5
Decent product,5
Very good ,5
Solid ladder.,5
Good product ,5
Good quality.,5
Very good!,5
it's good ,5
