review_text,rating
Carefully Delivered within 5 days. Total 8ft is wrapped with bubble wrapping to ensure safety delivery. You can see it in the image. Good quality product. Happy with the purchase. Thank you Swissteck Aluminum & Daraz. Cheers !!!,5
"Love it. Rigid and lightweight, have no second thought about swisstek ladders. Delivery was fast aswell - which is was within 2 days. Seller processed and handed the item over to daraz within hours after I placed the order and made sure it was before the second half of the day making it eligible for next day delivery. Overall great experience with swisstek, wish the company the best of business.",5
Good product...well packed & delivered....,5
Good quality ladder to do the works..,5
දින 9 විතර ගියා ලැබෙන්න. ඒත් බඩු හොඳයි. අනික් ලැඩර් වලට වඩා බරයි. ශක්තිමත්. ඩිලිවරි සර්විස් එකත් හොඳයි. කලබල නැතුව හොඳින් කතාකලා. බොහොම ස්තුතියි,5
"Good product. Seller was quick to rectify a delivery mistake. However, Daraz and the Deliver Partner was horrible. Didn't deliver the product and sent a mail saying it was delivered. When they came with the actual delivery the delivery guy was rude. Unhappy with Daraz and delivery partner, but seller was good.",5
"The ladder is sturdy, lightweight, and perfect for reaching high places around the house. It’s exactly what I needed and great value for the price. Highly recommend! Thank you to the delivery team for the fast and secure delivery.",5
"The ladder was received as described in the order. However, it does not appear to have undergone any quality control checks. There are numerous sharp edges present at all the joints. While the ladder seems sufficiently stable and strong for a person of average build, the overall quality is concerning.",4
QC rejected item ?,2
Value for money. safety and speed delivery. good services. ,5
"It’s a good product , worth for the price ",5
Love this product. Highly recommended. ,5
received on time..perfect condition ,5
Good product. Good Strengh and heavy..Recommend,5
Great delivery ,5
Good product.. ,5
Good product ,5
good service ,5
"The delivery company is awful and manipulative. They claimed to have called me a few days ago but could not show me call records. I never had any calls from them, but they marked the Daraz system as they tried many times. When I asked the delivery guy he didn't have a reply. Please refrain from using this bad delivery partner, at least for my orders",4
Its ok. ,5
Good ,5
prefect ,5
Best product. Value for money.,5
Excellent,5
"Highly Recommend product, Vendor and Delivery service ",5
"Product is good and just as expected. Delivery dates were given as between 4th to 8th October, but it was delivered on 30th September. However the professionalism of the courier company should improve. They should first contact the customer and check if the customer is available at a given time before delivering the product. During all my previous deliveries the couriers suddenly showed up without any notice. Once for a COD order I didn’t have cash in hand as the product delivery date given was a few days after the day It arrived. I had to borrow from the a third party. I think this should definitely be addressed",5
Good and fast delivery ,5
Edges should be shap,4
"It is amazing. The lader also good condition. Packing, fast delivary & quick service .. Exelent. Tnx daraz and swisteck",5
It has sharp edges all around Also it's not quite strong enough to be steady But serves the purpose Worth the price Can Recommend,5
Superb item. Highly recommended. Worth for Money. Well packed and delivered to the door step.,5
Not yet opened ,5
Good. Properly packed. There was a small delay in delivery.,4
Well packed. No damage good product heavy duty,5
#WIN Item received in good condition. Thank you!,5
It's good but I found in shop for low price! 18k here but can buy less than 14k in the hardware ! ,5
super product,5
"Ladder is good, even though there are some sharp edges, need to be careful when handing ",5
very comfortable and safe ,5
quality is good ,5
though it was delivered u hav sent msg saying it will be delayed . ,1
Excellent Seller Fast Shipping Thanks,5
Really good product and fast delivery,5
as described.. value for the price,5
Good quality product.well packed.,5
The ladder is worth full .,5
Good quality product ,5
good & recommend ,5
Recommend to buy,5
Good product ,5
Good product,5
Product is as described. Quality product. delayed 3days more than provided date of delivery. Ordered with Sampath credit card with a 12 months installment plan but it was not converted to a installment plan. I had to pay the full amount. Beware if you go into installment plans with credit cards.,5
Good ,5
cool,5
