review_text,rating
good quality product. 6.75 feet height after standing.,5
#WIN good conditions.excellent paking.recommend to buy others.,4
Good quality product. Good packing. Fast delivery. Thank you.,5
Good product ✨👍 ගන්න කට්ටිය ගන්න ලැටර් ඒක හොදයි හොදට පැක් කරලා එවලත් තිබූනා 👍,5
good packing & good quality,5
හොද නිෂ්පාදනයක්. Thanks dalaz,5
"Got the ladder after a week. it took a long time to deliver. the overall condition of the ladder is very very worst. It's with crow poop and very dusty. It looks like an old used ladder. I thought it will be in good condition because of the brand 'Swisstek'. But after the order I made, I feel like this is not the right place to buy products like this. Because customers won't get a satisfied deal with this store. Please think twice before purchasing from them. I have attached the photos as well ",1
Good quality product safely packed n delivered no issues,5
"Fast delivery, good product.",5
"perfect for domestic use, value for money ",5
Product is ok. Rigidity is bit unsatisfied but ok for indoor use. Corners should be smoothed more coz those can cause injuries (I’ve pointed them). I’m hoping to gum tape them coz the corners are bit sharp.,4
Super ladder and excellent quality. Cheaper than hardware -both price and quality,5
"good product ,",5
"This aluminium ladder is sturdy, well-built, and meets all safety standards. It’s lightweight yet durable, with anti-slip steps and a stable base, making it reliable for both indoor and outdoor tasks. Highly recommended for its quality and performance!",5
"high quality ladder, worth for the price, recommended for house worksfree shipping #WIN",5
I have received the product in perfect condition. No issues and I liked the product.,5
very fast delivery.with in 3 day.product is valive for money goog quality.,4
හොඳයි ඩැමේජ් මොනවත්ම නැහැ හොදට පැක්කරල තියෙනවා ගෙවන ලද මුදලට වටිනවා ,4
"Overall it's a good product. But not much heavier as expected. Also, there are two sharp parts as in the picture which can harm the skin.",3
I think it's good value for money. and fast delivery. photo is taken from the wideangle lens. So the ladder might look taller.,5
It is really worth for the price. Thanks daraz and I like to be with you in the future also.,5
My item was broken while receiving..don't ever buy this..,1
Good Product. Recommend,5
Well packed and quick delivery. Worth the price paid.,5
"Good product , High quality & fast delivery.. #WIN",5
received after 06 days .had a complete packing ..value for money ...thanks daraz,5
"Hodak hodak,",5
Good. Make sure to sand the edges.,5
Good . but delivery time taken more than 18 days ,5
worth for money. good product. no damages. thank you ,5
Swisstek is a best quality branded product.100% recommended 💯,5
"recommend, satisfied, thanks Daraz, worth every penny.",5
"Good as shown on the images, Reasonable ",5
Good product Safe delivery ✅ No damages ,5
Good product,5
worst delevery i had experience  ,5
Very good. Worth for the money ,5
Very good product for mony.Thanks Daraz,5
Good Condition.. Reccomond the Seller,5
no bad at all. very good. ,5
recommended. really good ,5
Good quality and fast delivery 🚚,5
Highly recommend. Best product,5
good product... Recommended....,5
Superb quality product . Recommend to buy and fast delivery like a rocket 👍👍👍,5
Highly Recommended. ,5
good product... ,5
good product.,5
very good ,5
Good ❤️ ,5
good one ,5
Good ,5
As described,5
Good quality ,5
good product,5
Hi Quality Product. Fast Delivery. Recommended Seller.,5
very good product. Nicely packed and sent.,5
very good product.,5
good ,5
Ladder Best. Seller Best. but Certis Delivery service very weak. ,5
Prone to cuts & bruises with the sharp cut aluminum edges. Expected a better finished product. Overall worth the price. ,3
Order කරලා දවස් 14K වගේ ගියා deliver කරන්න .Daraz එක්ක ගොඩක් කල් ඉන්න නිසා ඉවසන් හිටියා නැත්තං App එක remove කරලා .,4
"Very delayed delivery , delivery company name jetex. Product was delivered after calling many times to the customer care and jetex.",5
"Absolutely worth the price, very good quality and quick delivery ",5
Good ladder ,5
Good product. same as the picture ,5
satisfied. very good packaging & fast delivery. ,5
"Value for money, ",5
almost one month taken for delivery. but product was really good ,3
Good Item,5
"Happy with the purchase. Good product, quick delivery. Thanks Daraz and Alumex.",5
"Quality not checked before shipping, Swisstek company don’t have any quality checkers??? Low price low quality ",2
Ordered a ledder on 16th dec bit still i didnt get the product ,1
"(I would rate it 4.5 if possible, because the diagonal crossbars are SLIGHTLY flimsy. But overall it is quite good, is reasonably steady). 7 steps total including top. All are 2.75"" deep except topmost step is 5"" deep. Bottom step is 19"" wide, and steps get progressively narrower until 6th step is 14"" wide; topmost step 14.5"" wide. Has decent rubber feet. I'm reasonably satisfied with this purchase.",5
not enough the strength of the Aluminium runners. ,3
Not satisfied. ladder is not balanced. very dangerous. Only 3 legs touch the ground. Very dangerous when climb up. Unsatisfied.,2
Whooooo.......It's a great deal. Well received the item with safe packaging. I highly recommend the seller.... thanks seller and daraz also....💐,5
Good finishing good value for the spend ,5
Good,5
Brilliant ladder... Very long.. Recommend to buy... Very happy... ,5
Good Product 👌👌,4
Products is good and worth for value,5
good item,5
Good product,5
Good ,5
little too thin than expected...can use for lighter works,3
Good product worth for price recommend,5
very fast delivery. within 3 days.product in perfect condition.,4
easy to handle. worth for paying. strong and easy to carry. #win,5
worth for the price very useful one #win,5
Product is good but the delivery was worse. I had to call several times to the courier and daraz to get it delivered. Took over a week to deliver the product.,3
good quality ,5
"Through your updates you have govenme the impressoon that the item was being imported. However, yesterday I got it from a local factory! May I know why you did that?",5
product is good but deliver after so long(2weeks) which supposed to deliver on time.deliver after i lodge a complain 2 times about delay.regret about service for customers ,5
"This is one of the best products I have ever ordered via Daraz. Swisstek = Quality Aluminium Products. If anybody has a doubt about the price, I can tell you this is the cheapest price for 7ft ladder in colombo area. ",5
Ladder was correct but the material gauge was very thin. Shaky. Purchased from this company by passing other similar companies expecting a good quality product as per the brand name. But I now came to know that they too make poor quality products,2
"Fast shipping compared to some users with bad Jetex experiences in different stores. What I'm really happy about is that I got the order. Both the seller and Jetx deliver person are very nice and communicative. Product is also good, just as in the pictures, so I think posting pictures are unnecessary as many people have already posted xD I can recommend both the seller and the product.",5
Delivered on time.Looks good and nicely packed.Really appreciated the fast service you provided.. Thank you.,5
The product is as it was described. quality & the material grade was excellent. well finished & highly recommended. ,5
"Good quality ladder , would recommend .. Delivery took 7 days , should be due to the fuel outage at the moment .. overall all good .",5
Good packing. Good finishing. Took 2 weeks to deliver. Aluminum plate thickness 2mm and step width 7cm.,4
"According to the delivery status they updated 2022-02-07 delivery attempt failed it was wrong, I have contacted seller and Daraz for long delay but finally got the item after 15 days. It was fine but looks like quality rejected.",5
