review_text,rating
මේක ගත්තෙ december discount එකට 24000 ක් උනේ... ඒ ගානට ඇත්තටම වටිනව...ඒත් ඊට වඩා ගානකට වටිනව කියල මට හිතෙන්නෙ නෑ මොකද මේක හොදම quality multy purpose ladder එකක් නෙවෙයි...බරත් අඩුයි... මේක අවශ්‍ය අවස්ථාවක ගෙදර පාවිච්චියට වටිනව...site එකක වගේ daily පාවිච්චි කරන්න බැරිවෙයි... පරෙස්සමෙන් පාවිච්චි කලොත් කාලයක් පාවිච්චි කරන්න පුලුවන් වෙයි... කොහොම උනත් deal එක පාඩු නෑ... ඒක ගොඩක් ප්‍රයෝජනවත්... thanks,4
"Really high quality product. Delivered very quickly. Almost everything was perfect, except one of the screws was bent, but I bent it back to normal shape, and everything was good. The screw was the only mishap. All in all, great product.",5
"quality product, very useful for domestic purposes.",5
"ඇත්ත්ටම හොද ප්‍රඩක්ට් එකක්, ටික කාලක ඉදන් බලගෙන උන්නා ගන්න. මිල අඩුවි මත් එක්ක අරගත්ත. ඔන මට්ටමකට පාවිච්චිය පහසු නිසා වටිනවා. ගොඩාක් බර වෙවි කියලා හිත්උනත් යම් සැහැල්ලුවක් තියෙන නිසා ගෙනියන්න පහසුයි. ශක්ත්ඉය අත්ඉන් හොදයි. බලාපොරොත්තු වෙනවා කාලයක් පාවිච්චි කරන්න පුලුවන් වෙඑවි කියලා",5
"perfect, no words 👌",5
"Recommend Ladder , locks in place securely & stable to work on it . ",5
"Quick delivery, good packing ",5
Ladder එක හොදයි. හොදට packing කරලා එවලා තිබුනත් ඒක බිම දිගේ ඇදගෙන ගෙනල්ලා නිසා සීරිම් වෙලා තිබුනා.. 😥😥. Warranty card එකේ කිසිම Record එකක් නෑ. ඒක නිසා 6 months warranty කිව්වට වැඩක් නෑ.🤬🤬. නමුත් Ladder එක Good. ❤️❤️,3
Product looks grate and build quality is quite good. As a con all I see is ladder bending mechanism. Not sure how long sprig based ladder folding mechanism will work ,4
Item is good and the length is matching my need. Relatively cheap in Daraz. The locks seems little bit dangerous. Better use with care. Delivery took almost 10 days. ,4
"Nicely packed, delivered very earlier than expected. High quality product. seller is highly recommended. ",5
good product.everything is very good.,5
Good quality product. By the way no warranty details on the card. ,5
great ladder. user friendly and good in strength. seller had packed well with no damages.,5
#Win Genuine product and fast delivery.worth for money.Thank you❤️,5
"Good Quality, Recommended ❤️❤️❤️",5
Superb quality product. Can be placed well on the ground and suitable for several jobs. Fast shipping. Highly recommended. ,5
Fast Delivery. High quality product. seller is highly recommended.,5
"Very good, but I am not as fat as the guy in the picture, so I am not sure about the sturdiness",5
Best ladders ever. #win,5
"Seems to be a good product, but not received proper accessories to use it. 4 Bolts, 1 Nut with 8 washers. How can I fix the support bar to the ladder? Please guide.",5
very high quality product. timely delivered and very nicely packed. fully recommend this product and the seller ,5
High quality product.. ,4
Used almost a year. Good quality product. Load into sedan type cars. ✅ ,5
"Ladder eka shakthiya tikak aduyi , samanya mattame wedak karaganna puluwan , bara aduyi.",3
good quality product.seller is higher recommend.thanks DARAZ,5
Nicely packed and arrived on time. Quality product of Sri Lanka. Highly Recommended.,5
highly recommend ,5
Thank you.,5
good product and delivery perfect tnq,5
Really appreciate high quality Sri Lankan product. ,5
product quality good. But received different spec,4
Good quality product. Item arrived as indicated ,5
