review_text,rating
Very very good product. value for money. good job seller and daraz,5
"delivery service is very very poor, i ordered 24th of January but received 09th of February. many times i called to a daraz and jetex. i am not satisfying with delivery service",3
සේවාව අතිවිශිශ්ටයි ශක්තිමත් හා බාවිතය පහසුයි සතුටුදායකයි.,5
කාලෙක ඉදන් බලන් ඉදලා ගත්තේ.. ගොඩක් කල් පාවිච්චි කරන්න පුළුවන් වෙයි කියලා විශ්වාස කරනවා.. ගෙවන ගානට උපරිමයෙන් ම වටිනවා,5
නියම ඉනිමග. සවිශක්තියත් හොදයි.  හොද Seller කෙනෙක්. ඉක්මනින් ප්‍රතිචාර දක්වනවා වගේම සුහදශීලී සේවාවක් ලබා දෙනවා...😍😁,5
හොදින් අසුරා තිබුනා. ලැබෙනවිට සෑහෙන ප්‍රමාදයක් වුනා.,4
ලොක් වෙන ලීවර සමහරක්විට නිසි පරිදි ක්‍රයාත්මක නොවී තිබෙන බවක් පෙන්නුම් කරනවා.,4
The product is of excellent quality and arrived in perfect condition. Very satisfied with the purchase,5
arrived on time. good quality as described. well packed. excellent delivery and communication. ,5
Fast delivery. Delivered within 3 days. It was packed well. Delivered carefully. Thank you seller. Recommend others,5
"Discount price: 30,439/- (2,537*12) Weight: around 10Kg (low weight) Quality: Very Good and Aluminum Received: within 4days properly sealed and delivered.",5
Great and REASONABLE Price. Superbly safely packed and delivered. Received less than 3 days from order. Thank you so much DARAZ for the deal. Ladder is very valuable in Price and Material. Remarkable Excellent service. Keep up the good work,5
Hi-Quality Product...Delivered within 5 days...Highly Recommended Seller...Thank You.,5
delivery within 5 days.it's good item.well packed.no any issue.recommended for others..,5
good product. value for money. original quality product. ,5
i received within 10days package well COD item are fine with the offer prices 5ft x 4 = 20ft ,5
Superb Item .. ❤️ well packed and very useful ladder .. ❤️ love It .. ❤️🔥,5
Good product 👍❤️,5
ඉතාමත් හොඳ නිෂ්පාදනයකි.ඉතාමත් හොඳින් අසුරා තිබූ අතර භාන්ඩය නිවසට ප්‍රවාහනයේ දී සිදු වූ නොසැලකිලිමත් බව නිසා එක් ස්ථානයක සීරීමක් සිදුවි තිබුණි.කෙසේ නමුත් ඉතා අනර්ඝ තත්වයේ නිෂ්පාදනයකි.,5
Good Packing..Very useful and Quality Item,5
A very useful product ❤ Great build quality.Highly Recommend!,5
Item is quality as described. Worth for the price .,5
"It's a brilliant production. So glad to have this kind of ladder. light weight,comfortable and durable. Thank you seller.",5
Quality product and highly recommended 👌 👏 👍 💯,5
හොදටම පැකින් කරල තිබ්බ. භාන්ඩෙනං සුපිරි. හොද හයියට තියෙනව. බරත් නෑ. ඩිලිවර් කරන jetex නං පරක්කු කලා ගේන්න ගොඩක්. #win,5
"Worth for money, well packed and delivered to the exact date #win",5
received the item in an unexpectedly short duration. seems solid and as described,5
very useful item.i bought 4×5ft. strong enough.good packing.value for money.,5
"නියමයි , හොදට පැක් කරල ආරක්ෂාකාරීව එවල තිබ්බා . කියපු විදියටම ආවා. ",5
Great product. Worth the money spent. Good courier. Delivered within 4days.,5
Good quality product got this before the estimated delivery date also,5
"The delivery was delayed. There were some minor scratches which are negligible on the ladder. But my concern is even though SwissTec has advertised that they don't charge shipping fee for their ladders purchase from Daraz, Daraz charge me Rs. 1074.00 as shipping charges.",5
මේක පට්ට වාසියක්..මම ගත්තෙ 26000ට. ladder එක් හොදයි..බරත් අඩුයි.අඩි 20 එක ටිකක් දිග නිසා දිගාරින්න දෙන්නෙක් ඉන්න ඕන...ඕන උසකට ඉක්මනට යන්න පුලුවන් සුපිරියක්,5
Superb quality. Extremely satisfied with the product. Product is exactly as described. Highly recommend.,5
one year back I purchased 8` feet step ladder. still I'm using it without any problem . There product quality is very good. Thats why I purchase this 20 feet ladder.. This ladder is very good quality . easy to handle. not heavy. because of thick rubber bush we can easily keep it on tile floor to climb up without having anyone's help. worth for the price. 100% trusted seller . Thank you Daraz.,5
Excellent product. Very suitable for home use. Has an automatic locking mechanism for each ladder position. Received the product very well packed without any damages. I recommend the seller. A++,5
this is my 2nd ladder. easy to handled and strong. reasonable price with promotions. so highly recommend. thanks to seller and daraz.,5
Highly￼ recommended￼.Fast delivery￼.Worth for price￼ Thanks ,5
recommended product very useful no damages fast delivery,5
Good! But less strong!,5
Packed Well. ,5
Good Product. •Nice & safe packing. •Worth for price. *Recommend for every one.,5
ladder was in good condition.it would have been better if the width of the ladder and stepping part width increased.,5
දෙපැත්ත බිමට තියලා මැද්දට නැග්ගා ම පොඩ්ඩක් පහත් වෙනවා. කැඩෙන්නේ නම් නැ. ගොඩක් හොඳයි. ලොකු වැඩක් කර ගත්තා.,5
Good quality ladder,5
Good quality product. Recommend.,5
Really a best product!! Came with a good packing !!,5
Fully worth & it’s a must in the house if you are doing house work in a tall building. 😃😃😃 ,5
Very satisfied the product quality is good and well built ,5
Excellent ladder with high quality. Recived ladder within one day. Recommend this seller.,5
lader eka godak hodai thank you.delivery eka chuttak parakku una ,5
It's the best ladder ,5
very good product ,5
This is a good portable product. Very useful. Durable. ,5
good product.,5
Good product but delivery was little bit slowly..,5
"මා විසින් ලබාගත් 2 වන ඉණිමඟ good product ,good delivery ",5
Very Good product Excellent customer service.,5
"I was very disappointed since the delivery was so late and the package was damaged. They might have loaded it carelessly. I bought 20ft one & I have a doubt if it could really handle 150kg weight, cuz when I climb, it bends slightly & it scares us about the strength. 20ft one is somewhat heavy & can't handle alone if u don't have strength. ",2
