review_text,rating
The ladder was delivered carefully and fast. Product is good. Only negative comment is seller should have cleaned the top of the ladder before shipping as it’s dirty and not what one expects when purchasing a unused/new item. #WIN,4
Handy item to be used in kitchen and rooms to take thing's in tall cupboards. essay to carry. but there are sharp edges were could be minor injuries. I did not expect this from a reputed manufacturer. they should take serious not to improve the final touches on their products.,4
Thanks Daraz🧡 අලුත් අයිටම් එකක් නිසා ⁣ෙපාඩ්ඩක් දූවිලි එ⁣ෙහම පිහලා pack කරලා එව්වනං තවත් වටිනවා..,5
ගොඩක් හොදයි හයියත් හොඳට තියෙනවා නියමයි,5
Very good. Received with good packaging,5
good quality ,5
Good quality ,5
sturdy ladder. edges a bit sharp but worth the price and gets the job done.,4
Good product,5
good👍,5
#win good,5
Good,5
Great product!,5
Premium Quality and Safety Packing... No any Damages or Scratches... Thanks Swisstek and Daraz.... #WIN,5
"Product is good, but took extra long time to deliver. Most probably due to diesel crisis in the country.",5
dont buy anything this seller. no any support after purchase...im disapointed. dont buy anything.,1
Good product. Fast delivery ,5
Highly recommend this product and the seller ,5
hodai haiyath hodai eth curie එක නම් චාටර්,4
Very strong ladder. Worth the money. ,5
Opening angle is bit too small,3
Heavy duty useful thank you ,5
very handy to use at home.,5
there is a damage in step,2
Excellent b #WIN,5
Good Product.,5
good,5
